match_id,season,date,team1,team2,venue,toss_winner,toss_decision,team1_runs,team2_runs,team1_wickets,team2_wickets,form_team1,form_team2,team1_win
60,2008,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,222,82,3,10,0.5,0.5,1
61,2008,2008-04-19,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,240,207,5,4,0.5,0.5,1
62,2008,2008-04-19,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,Rajasthan Royals,bat,129,132,8,1,0.5,0.5,0
63,2008,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,165,166,7,5,0.5,0.0,0
64,2008,2008-04-20,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,Deccan Chargers,bat,110,112,10,5,0.5,1.0,0
65,2008,2008-04-21,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Kings XI Punjab,bat,166,168,8,4,0.0,0.0,0
66,2008,2008-04-22,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,142,143,8,1,0.0,1.0,0
67,2008,2008-04-23,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,208,202,5,7,1.0,0.0,1
68,2008,2008-04-24,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,214,217,5,7,0.0,0.5,0
69,2008,2008-04-25,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,182,116,10,9,0.0,0.0,1
70,2008,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,field,135,138,8,3,0.5,0.6666666666666666,0
71,2008,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,147,152,9,1,1.0,1.0,0
72,2008,2008-04-27,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,154,155,7,0,0.0,0.0,0
73,2008,2008-04-27,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,158,162,8,6,1.0,0.3333333333333333,0
74,2008,2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,bat,178,165,5,10,1.0,0.3333333333333333,1
75,2008,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,bat,137,138,8,3,0.6666666666666666,0.0,0
76,2008,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,field,191,181,5,5,0.6666666666666666,0.3333333333333333,1
77,2008,2008-05-01,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,164,167,8,3,0.3333333333333333,0.6666666666666666,0
78,2008,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,bat,196,151,7,10,1.0,0.3333333333333333,1
79,2008,2008-05-02,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,169,172,6,2,1.0,0.6666666666666666,0
81,2008,2008-05-03,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,178,169,6,6,1.0,0.0,1
111,2008,2008-05-03,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,156,153,8,6,0.0,0.3333333333333333,1
82,2008,2008-05-04,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,field,162,133,8,10,0.3333333333333333,0.6666666666666666,1
83,2008,2008-05-04,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,bat,109,110,10,2,0.6666666666666666,1.0,0
84,2008,2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,126,127,10,4,0.3333333333333333,1.0,0
85,2008,2008-05-06,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,144,148,7,3,0.3333333333333333,0.3333333333333333,0
86,2008,2008-05-07,Rajasthan Royals,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians,field,103,104,10,3,1.0,0.6666666666666666,0
87,2008,2008-05-08,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,187,188,5,6,0.6666666666666666,0.0,0
88,2008,2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,129,124,7,4,0.0,0.3333333333333333,1
89,2008,2008-05-09,Deccan Chargers,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,140,141,8,2,0.3333333333333333,0.6666666666666666,0
91,2008,2008-05-10,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,field,181,163,4,9,0.3333333333333333,1.0,1
92,2008,2008-05-11,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,204,181,4,7,0.3333333333333333,0.3333333333333333,1
93,2008,2008-05-11,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,156,159,7,7,0.3333333333333333,0.6666666666666666,0
94,2008,2008-05-12,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,143,144,8,1,0.3333333333333333,0.6666666666666666,0
95,2008,2008-05-13,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,bat,133,110,6,10,0.6666666666666666,0.0,1
96,2008,2008-05-14,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,156,158,6,1,0.6666666666666666,1.0,0
98,2008,2008-05-15,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,field,194,182,4,9,0.0,0.3333333333333333,1
99,2008,2008-05-16,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,67,68,10,2,1.0,1.0,0
100,2008,2008-05-17,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,bat,118,94,4,3,0.3333333333333333,0.6666666666666666,0
101,2008,2008-05-17,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,197,132,1,9,0.6666666666666666,0.0,1
102,2008,2008-05-18,Mumbai Indians,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,178,153,7,7,1.0,0.0,1
103,2008,2008-05-18,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders,bat,149,55,5,0,0.6666666666666666,0.6666666666666666,0
104,2008,2008-05-19,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,field,154,158,7,5,0.0,0.3333333333333333,0
105,2008,2008-05-20,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,147,150,8,4,0.3333333333333333,1.0,0
106,2008,2008-05-21,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,189,188,4,10,0.6666666666666666,1.0,1
107,2008,2008-05-21,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,126,112,8,8,0.0,0.6666666666666666,1
108,2008,2008-05-23,Deccan Chargers,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,175,178,4,4,0.0,1.0,0
109,2008,2008-05-24,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,field,176,179,8,5,0.6666666666666666,0.6666666666666666,0
110,2008,2008-05-24,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,211,201,5,7,1.0,0.3333333333333333,1
80,2008,2008-05-25,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,165,171,10,5,0.0,0.3333333333333333,0
112,2008,2008-05-25,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,bat,174,175,6,7,1.0,0.0,0
113,2008,2008-05-26,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,145,146,7,5,0.3333333333333333,1.0,0
114,2008,2008-05-27,Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,147,148,8,3,0.0,0.3333333333333333,0
90,2008,2008-05-28,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,122,126,9,1,0.6666666666666666,0.0,0
97,2008,2008-05-28,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,221,180,3,7,0.6666666666666666,1.0,1
115,2008,2008-05-30,Rajasthan Royals,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,field,192,87,9,10,0.6666666666666666,0.6666666666666666,1
116,2008,2008-05-31,Kings XI Punjab,Chennai Super Kings,Wankhede Stadium,Kings XI Punjab,bat,112,116,8,1,0.6666666666666666,0.3333333333333333,0
117,2008,2008-06-01,Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,Rajasthan Royals,field,163,164,5,7,0.6666666666666666,0.6666666666666666,0
118,2009,2009-04-18,Mumbai Indians,Chennai Super Kings,Newlands,Chennai Super Kings,field,165,146,7,7,0.3333333333333333,0.6666666666666666,1
119,2009,2009-04-18,Royal Challengers Bangalore,Rajasthan Royals,Newlands,Royal Challengers Bangalore,bat,133,58,8,10,0.6666666666666666,0.6666666666666666,1
120,2009,2009-04-19,Kings XI Punjab,Delhi Daredevils,Newlands,Delhi Daredevils,field,104,58,7,0,0.3333333333333333,0.6666666666666666,0
121,2009,2009-04-19,Kolkata Knight Riders,Deccan Chargers,Newlands,Kolkata Knight Riders,bat,101,104,10,2,0.3333333333333333,0.0,0
122,2009,2009-04-20,Chennai Super Kings,Royal Challengers Bangalore,St George's Park,Chennai Super Kings,bat,179,87,5,10,0.3333333333333333,0.6666666666666666,1
123,2009,2009-04-21,Kings XI Punjab,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,field,158,79,6,1,0.3333333333333333,0.3333333333333333,0
